position,score
3kR3/1b3Q2/p1q2p1n/1pb5/7P/P2P4/8/5K2 b - - 1 37,534
2r3k1/1p2pp1p/p2p1bp1/P2P1q2/1P1B4/1B5P/2P2PP1/3Q1RK1 w - - 3 22,438
8/p6p/2B1k1p1/2p5/2P5/1P2P2p/P4P1K/8 w - - 3 35,565
1qr2rk1/1b2bppp/p3pn2/1p2nB2/1P1N4/P1N3P1/1B2QP1P/2RR2K1 b - - 1 21,250
1r3qk1/1ppR2b1/p3N2p/4p3/4N1p1/1nP1Q3/1P3PPP/6K1 w - - 4 27,604
rn4k1/pQ3p2/2N2p1p/3p4/8/2rBP3/5PPP/q2R1RK1 w - - 1 22,975
3r1r1k/8/2p1N2p/1p2p1p1/8/1BP1Q2P/3q2P1/4R1K1 w - - 0 32,1360
1qb1nrk1/3p1p1p/2nQ2p1/4pN2/Np2P3/6P1/1PP2PBP/4R1K1 b - - 3 22,615
r5kq/p1p5/bp1p2PQ/3P1p2/5P2/6P1/PP5K/7R b - - 0 25,724
8/8/8/3p1B2/3k2P1/4Q2P/PP3n2/5K2 b - - 1 57,-444
r1n2r1k/1pR1q1p1/p6p/1b1P1p2/8/P1Q1PB2/1P1N1PPP/2R3K1 w - - 3 26,683
8/6p1/p4p1p/5P2/PP4P1/3p1K1P/1kn5/8 b - - 0 56,631
2R5/5p2/p4k2/P7/4P2r/3PKP2/1PR2P2/7q b - - 4 42,322
1k1r2r1/pbp1npp1/1p6/P2q1P1p/2pN1BQ1/2Pn4/2B3PP/R3R1K1 w - - 2 21,35
2R5/1p3p1k/1p4p1/3QP3/5PPq/8/rP6/6K1 b - - 1 31,439
5rk1/p4p1p/1Q4p1/1p3qP1/5nbP/3R4/PP3P2/1K5R b - - 1 26,911
2r2Qk1/pp1q2pb/2n4p/7P/4pp1N/8/PPP3BK/8 b - - 0 29,1103
3qr1k1/1p1P1p1p/p1p1b1pb/P7/1PP5/2Q2N1P/5BP1/2R1RB1K w - - 1 35,975
3r1bk1/pp4pp/8/P1p5/1n1pR1P1/7P/1PPB4/4R1K1 w - - 13 31,174
2b1k2r/2p2p2/p1n1p1p1/2Q3Pp/2p5/2Nq4/PPP2PP1/R3K1NR w KQk - 3 16,961
2rr4/1p2Npk1/p2p3p/5P1p/2P1b3/1P1qR2P/P4QP1/5RK1 w - - 4 27,599
3r3r/1kpn3p/p3p1p1/1p2P1P1/1Qp2P2/4q2N/PP5P/1K1R3R b - - 3 22,1065
3rr1k1/4pRb1/p3p1Q1/3Pp3/q1P5/7P/P5P1/2R4K w - - 2 27,99999
2q3k1/5pp1/5n2/7p/2rpnB2/3N1P2/4Q1PP/rR4K1 b - - 1 34,966
2r3k1/2rn1p2/R1b1p1pp/3pP3/3P3P/b2B1NN1/1Q3PP1/R5K1 w - - 1 30,961
6k1/4rbpp/5p2/p3B3/P7/8/5K2/1r6 b - - 1 45,1403
6k1/P4pp1/7p/2p1p3/1nr1P3/5P2/1K4PP/R7 w - - 0 33,611
r2qkb1r/pbp2ppp/1pn5/4P3/4P1n1/PP6/1BPN2PP/R2QKBNR b KQkq - 0 9,377
8/8/kR6/b7/r7/N6P/K7/8 b - - 5 56,365
8/8/5pk1/3R4/5K2/p6P/r5P1/8 b - - 2 50,312
1rr5/5k1p/b3p2q/p2p1p2/8/P4RP1/5P2/R2Q2K1 w - - 0 32,-338
6k1/1b3pp1/pB2p2p/P2P4/1p1b4/1P3P2/3r2PP/4RK2 b - - 0 35,472
8/4P2p/6p1/5p1q/P4P2/1kb3PK/7P/8 w - - 5 59,-410
2r5/3qkpp1/3r4/2R1p3/2Q4N/6P1/PP2PP1P/2K4R w - - 3 23,939
8/1N6/8/K7/3Q4/5b2/P3k3/8 b - - 8 67,-487
3r2k1/p2q1pp1/2b2n1p/2P5/1Q1B4/4P2N/5P2/3BK1R1 w - - 4 31,255
8/6pk/8/7p/5P2/3q2rP/5QP1/4R2K w - - 1 48,63
r4rk1/1p4pp/2p5/p1Pp4/PP1q4/5P2/R3NP1P/1R4K1 b - - 1 23,621
r3r1k1/2qb1p1p/1ppp1np1/p2Pp3/2P1PP2/PPNnB1PP/3N2B1/R2Q1RK1 b - - 0 17,-592
2rq1rk1/1n4pp/p4p2/1P1Pp3/7P/1P2B1P1/4NPB1/2R1b1K1 b - - 0 22,697
4R3/3P2kp/5pp1/6Pn/7P/6q1/1PKR4/8 w - - 9 47,99998
8/5pk1/2Bp2pp/1P1P4/3b3P/1r4P1/5P2/6K1 b - - 1 38,583
5rk1/ppp1q1p1/8/5rP1/6K1/3P4/PPPQN3/5R2 b - - 2 28,697
4r1k1/1p5p/p6r/3R2pq/4p3/1PR1P1P1/P1N2Pp1/2Q3K1 b - - 0 34,99999
1nr3k1/5pbp/p1p1p1p1/8/NBn5/6PP/1P2PPB1/1RR3K1 w - - 1 24,692
8/6pk/1r5p/p2pp3/P3bP1P/1Pq1P3/3R1RPK/8 b - - 0 46,549
8/5pkp/p1p2p2/2b5/3N4/1bP3P1/P4PP1/R3R1K1 w - - 1 25,971
7k/pp2Q3/3P4/4p2p/6q1/1BPP1n2/PP3R1P/7K w - - 2 35,1221
3n1k2/1p4qp/p4p2/5QpP/1P2B3/P5P1/5PK1/8 w - - 4 45,283
6k1/5pp1/p1q5/8/1rP4p/5PnP/4RN2/5BK1 b - - 1 35,647
8/7p/6pk/1NR5/1P2pr2/4Q1q1/5PP1/6K1 w - - 3 41,775
b6k/qr2p1bn/2p2rp1/3nN1Np/1P1P1p1P/PQ1B4/4RPPB/4R1K1 w - - 11 32,517
8/8/3k4/7p/6r1/8/8/1K6 b - - 5 88,785
7k/pp4b1/6Qp/7P/6P1/2P2K2/PP6/8 w - - 3 58,594
8/p7/8/2p5/8/k1b4K/P1B3R1/8 w - - 1 82,326
6k1/1p2b1pp/p3qp2/2B5/1P2p3/P7/2Q2PPP/3R2K1 w - - 2 28,660
3r2k1/p3qppp/2N1pn2/1r1n4/P2P4/5NP1/4QP1P/2RR2K1 w - - 0 24,724
8/7p/6p1/p6R/P3QPk1/2p3P1/8/6K1 b - - 7 51,-410
2r2k2/1p1P3r/7p/1B1n3P/1P1B1pp1/1K3p2/8/3R2R1 w - - 0 41,1577
5rk1/ppp1q1p1/8/5rP1/5NK1/3P4/PPP5/4QR2 b - - 2 28,875
r3r1k1/1bQ2pp1/1p3n1p/3q4/pP1P1N2/P2BP3/5PPP/2R2RK1 w - - 0 23,565
4r1k1/1p5p/p6r/3b2pq/P3p3/1PR1P1P1/2N2Pp1/2QR2K1 b - - 0 34,99999
r4rk1/6p1/bp2pp2/p2p1q2/1p3P1Q/5N2/PP1N2PP/2K1R2R b - - 1 24,142
5rk1/6pp/1p6/6P1/p2N3P/4K3/3n1p2/1R6 b - - 1 41,716
5rk1/BP5p/4b1p1/1B6/P2NP3/6b1/1r5P/2R3K1 w - - 0 36,501
8/8/8/N3k3/6p1/8/6K1/8 w - - 1 69,-56
3R4/5rkp/6p1/8/3p1n2/3B3P/2P2PPK/8 w - - 5 38,192
r1bq1rk1/ppp1pBbp/6p1/n7/3PP3/2B5/PP2NPPP/R2QK2R b KQ - 0 10,-68
6r1/3nk3/p2pn1P1/4p3/1PP5/6K1/P2B4/5R1B b - - 2 39,-11
8/8/r7/1R3pk1/5p2/5P1P/8/6K1 w - - 9 57,-9
6k1/3Q4/6pp/8/3P4/4K3/pq4PP/8 b - - 11 47,815
8/1p4R1/1kpb1p2/p7/P3P1P1/r4p2/8/6K1 b - - 1 48,610
8/p4r1k/2Q5/7p/1P1BpPq1/4P3/P5RP/6K1 b - - 5 47,-253
r4rk1/p1q3b1/6pp/2Nnp2n/1P6/4B1PP/P4P2/R2QRBK1 w - - 0 23,1410
r2qk2r/pp1n1pp1/2pbbn2/3p2p1/Q2P4/2NBP3/PP2NPPP/R3K2R b KQkq - 5 11,543
5r1k/pp5p/n2p2q1/3PpNb1/1P6/P3Q2P/1B3PK1/2R5 b - - 5 34,925
6rk/1p6/p1p1p3/2PpPR1P/1P5b/4p1rP/P6K/3R2B1 b - - 1 33,413
6k1/5p2/2p5/p2p4/3P4/8/6pK/2B2q2 b - - 11 70,99999
8/8/7p/5KP1/2Q5/p7/k5P1/8 b - - 1 59,-619
6k1/5pp1/p1q5/8/1rP4p/5PnP/5N1K/4RB2 b - - 1 35,596
6k1/1p1n1pp1/7p/8/3PqN2/4PN1P/r7/3Q1K2 b - - 3 34,510
2r4k/pp4bp/6p1/3rp2R/8/1KN3q1/PPP1Q1P1/8 b - - 1 27,888
5r2/3Pqk2/2QRp2p/5Pp1/1P6/7P/1P4PK/8 w - - 1 43,724
r4rk1/pppb1pbp/4p1p1/4q3/2B1N1P1/8/4QPKP/4R3 b - - 2 26,745
r5k1/2p5/1p1b2p1/4qp2/8/2Q5/1B4PP/1R3R1K w - - 3 29,633
r3qrk1/7p/pp3b2/3bp3/P7/2N5/1PP1Q1PP/3R1RK1 w - - 2 22,316
8/2n2pp1/1P6/P1kp3p/8/3B1P2/6PP/6K1 w - - 0 49,559
4q2k/6n1/6p1/2pP3p/5Q1P/4N1P1/4K3/8 w - - 13 55,37
8/B7/8/8/7K/8/k7/8 b - - 1 54,-28
r1b1k2r/pp3pbp/6p1/3B4/5n2/1PP4P/3K1PP1/R5NR b kq - 0 16,671
r5k1/1p5p/2q2Qp1/2Pp1b2/p7/2P1BN1P/PP3PP1/R5K1 w - - 1 25,627
4Q3/1p3p1k/6pp/1P6/2b2P2/3B4/3r1P1P/4N1K1 w - - 1 39,609
3r4/3P1pk1/1p3p2/1N3b2/3R4/P7/1P1K1P1r/8 b - - 3 40,549
3k4/1b5Q/p1q2p1n/1pb5/4R2P/P2P4/8/5K2 b - - 1 37,365
8/3n1kp1/7p/3n3P/2B1PP2/4N1K1/8/8 w - - 5 59,571
1r4k1/6p1/p4p1p/1p6/5n2/5P2/5P1P/B1RrR1K1 w - - 11 39,404
2r2bk1/6pp/p4p2/1p1P4/1PpR2qP/P3rNP1/5P2/5RK1 b - - 1 37,792
5k2/6p1/5r2/3R4/8/1P4pP/4BbP1/7K b - - 5 55,10
r3q1k1/1p5p/5Qp1/2P2b2/p2p4/2P1BN1P/PP3PP1/R5K1 w - - 0 25,628
1r2rk2/2R2pp1/8/1p4P1/p3BP1Q/2qP4/4P1K1/7R w - - 3 33,99999
r4rk1/1pq1b1pp/p1p1bp2/4p3/4PP2/P1NRB1P1/1nP1Q1BP/3R2K1 b - - 0 19,299
5rk1/BPbb3p/6p1/1B6/P2NP3/6P1/1r5P/2R3K1 w - - 9 36,451
1r3rk1/Q2n2pp/3qpp2/2P5/1p1P4/4PB2/6PP/1R3RK1 w - - 0 22,660
4k3/7p/8/8/2p4b/1p5K/5p2/8 b - - 5 79,3784
R7/2p5/2Pp1k2/3P4/4K3/4P3/p7/1r6 w - - 6 54,30
r4qk1/1b3p2/6r1/pn1p2R1/1n1B4/1Q4P1/P6P/R5K1 b - - 4 30,829
1R6/6n1/1p3k2/6rp/8/8/7K/8 b - - 13 64,354
6rk/pR2RQ1p/3r1Pp1/8/3P2q1/6P1/P4PK1/8 w - - 0 33,99999
5r1k/pNB4p/4QppP/8/3pP3/3P4/PPr2Pq1/4K3 b - - 2 35,99999
2Q5/5ppk/p2qb2p/1p1B4/8/1P5P/P4PP1/3R2K1 w - - 1 27,670
k4r2/1b6/2n1B3/pqR2P2/3r4/3p4/3Q1BPP/R5K1 w - - 4 50,875
8/1p3kpp/rR3b2/8/bN3B2/P1P4P/1P3PP1/6K1 w - - 1 27,575
4kb1r/2qnpp2/4rnp1/2pPP2p/7P/2N2N2/PPQ3P1/R1B1K2R b KQk - 2 15,-33
2r1r1k1/pR3pp1/1Npb4/3pN1np/3P4/4P1P1/P1q2PP1/3R2K1 b - - 1 31,1106
r2qkb1r/pbp2ppp/1pn5/4P3/2N1P1n1/1P6/PBP3PP/R2QKBNR b KQkq - 2 9,363
r1b2rk1/pp2bppp/5n2/3pN2q/1P3B2/P3P1P1/4QP1P/R2R1BK1 b - - 9 25,-32
8/5R2/8/3p4/6P1/4p3/4B2k/4K3 b - - 8 77,-417
4rr2/2p2P1p/p2nPB1k/1p1Q4/4q3/2P4P/PP4P1/5RK1 w - - 3 33,99999
2b2r2/PP4k1/6P1/4P2p/2p2N2/5pP1/1P3K2/4R3 w - - 1 58,1039
3r2k1/pb3ppp/1p2pn2/3P4/3P2N1/qP1B4/P3QPPP/2r1R1K1 b - - 1 20,524
r3rk2/2R2pp1/8/1p4P1/p2qBP1Q/3P4/4P1K1/7R w - - 3 33,99999
6k1/1b3p1p/3q2p1/ppn1p3/1N6/P2P4/1P2Q1PP/3N3K b - - 1 30,541
2k5/2P5/3K4/4p1N1/4Pn1p/5P2/8/8 w - - 4 61,139
r5k1/5pp1/6b1/p1b1PNPp/5R2/2Pr1QN1/P5PK/R7 w - - 1 29,997
2nq1r1k/rpR3p1/p6p/1b1P1p2/8/P1Q1PB2/1P1N1PPP/2R3K1 w - - 3 26,99999
2b2rk1/1pqn1p1p/1np1pbp1/4P3/1PPPN3/3B1N2/6PP/B2Q1RK1 w - - 1 17,572
3r1b2/1k2qp2/p5p1/6P1/4P3/P5Bp/2Q4P/7K b - - 2 33,254
3r1r1k/4q1pp/1pb5/p1n1pp2/P1B1Q3/1PB1nP2/1K3NPP/R2R4 b - - 1 23,806
1k1r3r/pbp1npp1/1p6/P1nq1P1p/2pN1BQ1/2P5/2B3PP/R3R1K1 w - - 2 21,112
5r1k/pp5p/n2p2q1/3Pp1b1/1P3P2/P3Q1NP/1B4K1/2R5 b - - 0 34,280
8/5p2/2nk1Pp1/p2p2Pr/2p3K1/2P5/P3R3/2N5 b - - 1 49,448
2k5/2P5/4rp2/5rpp/N7/5P2/3R1KPB/8 w - - 2 52,1442
1rq3k1/3Q1pp1/1rp1p2p/8/1PR1P3/p7/P4PPP/1R4K1 b - - 0 26,578
4R3/1K3k2/1p2r2p/5p2/7P/6n1/8/8 w - - 6 68,-435
1rnn1B2/p2k1pp1/q3p2p/3pP2P/2pP1QP1/2P2N2/PR3P2/1R4K1 w - - 1 24,884
2b1r1k1/1p4p1/1Bp4p/5p2/P1P2P1b/1P1NN2P/4n1P1/2R2K2 b - - 4 44,240
5rk1/6pp/4b3/3PPp2/1q3P2/6PP/1P1R2B1/6K1 b - - 0 42,510
3rr3/1k2bqpQ/1nn5/1Np5/3P1B2/1P4P1/P4P1P/6K1 b - - 0 26,797
1r2k1r1/1b1p1p1p/p1q1pp2/5P2/1p6/2P4P/2nR2P1/1R3B1K b - - 0 27,1103
8/8/8/p5kq/PpPp2P1/1P1K4/4r3/8 w - - 2 67,-448
8/kb1p4/pp3n2/8/3B4/2P4P/Q5P1/4R1K1 w - - 1 36,879
8/5k1p/2r1r1p1/2PQ4/8/6KP/6P1/8 b - - 4 53,-9
3r2k1/1r4pp/pp3p2/2p5/5P2/2BP2P1/PP5P/R4RK1 w - - 0 25,421
2r1nk2/1R2p2p/6p1/2BPNp2/8/7P/6PK/8 w - - 0 45,525
2b4k/1p3p2/1nn1p1p1/3pP3/3P1P2/1P1B2R1/3QN2K/8 w - - 1 30,852
3r2k1/5pp1/3bp2p/1rpqB3/3P3P/2R3P1/3Q1P2/2R3K1 b - - 1 30,171
r5k1/1p3pp1/r7/1p2Pn2/1Pp1qP1p/2Pp1R1P/P2Q2PK/5R2 b - - 1 36,607
8/1b4k1/7p/PP2N1p1/5p2/3p1P1P/6P1/4K3 w - - 1 42,461
r4rk1/pp2bppp/2n1p3/3n4/2NPB1b1/1q3N2/1B2QPPP/RR4K1 b - - 3 19,78
4r3/1pp1k2p/p3pn2/8/4PPpP/8/PK2N1P1/3R3R w - - 1 22,489
3r2k1/7p/1p6/6p1/8/b2p1PP1/6P1/6K1 b - - 1 36,1030
r2qr1k1/p2bbp1p/p1P1pnp1/3pN3/P2P1B2/1P2Q1NP/5PP1/2R1R1K1 w - - 1 27,474
8/5rB1/3Kp1k1/p2bP2p/P6P/8/8/8 w - - 0 66,-468
r1br1bk1/Q4ppp/3p4/4pNPP/4P3/Pp3PB1/1Pq5/K2R3R b - - 4 29,733
3rr1k1/p5pp/1p3p2/7q/3RQ3/1PN1n1PP/PB3P2/2R3K1 w - - 0 25,564
2r1r1k1/p1q1p2p/1p1p2p1/3N1p2/2PQ1PP1/1P5B/P4P1P/4R1K1 w - - 1 22,565
r1b1r1k1/1p1n1p1p/p2p2p1/2pP3n/P4P2/2P2N1P/4q1PB/R2Q1R1K b - - 1 18,531
4r3/1p1kr3/p5P1/8/2PB1Q2/1P2p3/P7/6K1 w - - 4 44,504
3kr3/p2b1pp1/8/8/5bp1/1P2n3/P2K2PP/1R3B1R b - - 1 25,570
r5k1/pr4pp/1p3p2/2p5/5P2/2BP2P1/PP5P/R4RK1 w - - 2 25,445
3rN3/3P1pk1/1p3p2/5b2/3R4/P7/1P1K1P1r/8 b - - 3 40,359
8/p3kp2/1p2p3/5rRp/2r2p2/P1P1R3/6PK/8 b - - 1 40,875
4rr1k/pp4p1/2p1q3/4P2p/4Q2P/1P3PP1/PB1R2K1/5R2 w - - 1 27,600
8/5k2/2R5/3N1p1r/8/8/6K1/b7 w - - 2 75,-7
3rrbk1/5ppp/2p4q/1p2p1Q1/4P3/5RPP/2PN1P2/6K1 b - - 1 29,929
8/7p/6pk/1NR5/1P2pr2/4Q3/5Pq1/6K1 w - - 0 41,761
8/8/5k2/5p2/1rp4p/6bP/2R3P1/2R3K1 b - - 1 61,-49
4Q3/p4r1k/8/7p/1P1BpPq1/4P1R1/P6P/6K1 b - - 5 47,-271
r1bq1rk1/pp3pbp/n2p1np1/4p3/3NPB2/2N4P/PPP1BPP1/R2Q1R1K b - - 1 10,444
8/p7/6k1/6P1/5PK1/8/r6p/7R b - - 10 75,117
r1b2rk1/pp2bppp/5n2/3p3q/1P3B2/P2NP1P1/2Q2P1P/R2R1BK1 b - - 9 25,-5
2r4k/2rnbp2/R1b1p1pp/3pP3/3P3P/3B1NN1/1Q3PP1/R5K1 w - - 1 30,798
3r4/2NP1pk1/1p3p2/5b2/5R2/P7/1P1K1P1r/8 b - - 3 40,505
2rN2k1/n4r2/1p1n1pp1/p1p1N2p/8/P2PPQP1/1P3P1P/3R1RK1 w - - 0 31,879
8/8/8/4Rb2/5Kpk/8/8/8 w - - 0 74,526
2rr2k1/4pp1p/p5p1/1p2N3/8/1P5P/5PP1/3R3K b - - 2 28,743
1r4k1/1ppR2b1/p3N2p/n1q1p3/4N1p1/2P1Q3/1P3PPP/6K1 w - - 4 27,99998
2r4k/1q4pp/bp1PPp2/5p2/Pp3B1P/8/1P3PP1/3QR1K1 w - - 1 24,516
2b1r2k/1p3pp1/1P6/2Pp3P/3P1P2/r2B2K1/8/2B5 b - - 0 34,626
3q3k/p2r2pp/1pR1r3/3p1p2/Q6P/1P3BP1/P2RPP2/6K1 w - - 1 25,710
8/6Rp/p6k/4B3/8/1K5P/6r1/3r4 b - - 0 50,496
6rk/pR2RQp1/3r1P1p/8/3P2q1/6P1/P4PK1/8 w - - 0 33,612
8/1p3p2/2p2k2/p4n2/P6p/2P2b1K/5P2/8 b - - 0 46,743
2rq1rk1/5ppb/4pn1p/3pN3/1b6/3pP1P1/2PN1PBP/R1Q1RK2 b - - 1 23,523
3k4/5R2/1p6/1Pr5/8/3P4/8/1K2Q3 b - - 8 48,-500
8/8/1N1pk2b/4p2p/2P1K3/4N1P1/8/8 w - - 3 44,301
r1bq1rk1/1p1nbNpp/4p3/p2p4/P4B2/1Pp3PP/Q4PB1/R4RK1 b - - 0 18,622
3rrbk1/5ppp/2p4q/1p2pRQ1/4P3/6PP/2P2P2/1N4K1 b - - 1 29,751
8/6pk/1r5p/p2pp3/PP2bP2/2q1P2P/3R1RPK/8 b - - 0 46,598
r1b4r/B3k1pp/1p1R1p2/bBn1p3/8/P1P2N2/5PPP/4K2R b K - 3 20,539
3K4/2R5/4k3/8/5P2/8/8/2r5 w - - 0 52,713
r3k2r/1bqn1ppp/p2p4/1p2pPB1/3Nn1P1/P1P1Q3/2P1B2P/R4RK1 b kq - 0 15,390
rn2qrk1/1bN1bppp/3ppn2/p7/P2NP3/3B4/1P1BQPPP/2R2RK1 w - - 7 17,704
2k1r2r/p1b4q/P3p3/1p1p4/1PpN1n2/2P3N1/7Q/R4RK1 b - - 1 34,99999
1k4r1/2R4R/p2p2p1/1p1P4/1P5p/P6P/3K2P1/8 w - - 5 54,544
r4k2/1p2qrb1/6R1/1p3p2/5P1P/2P5/PP4P1/3Q1K2 b - - 1 27,543
6k1/6R1/3Np3/3n1p2/3P4/4p2P/2r5/4K3 b - - 0 41,408
2kr2r1/Qp1n4/3Pp3/Bp3p2/5P2/1P4p1/2P5/2KR4 w - - 0 32,560
1r1bnrk1/2q2p1p/p2p1PpQ/1p1P2P1/P2p4/7P/1PPB2B1/4RRK1 w - - 0 27,302
8/4k3/6pp/4K3/b6P/1p2pBP1/8/8 b - - 1 42,467
N7/4k2p/4p1p1/6P1/P3q3/1K4P1/8/8 b - - 2 49,725
6k1/4bpp1/p3n2p/8/1P2PB1P/3q4/5PP1/2Q3K1 b - - 0 26,462
5r2/5ppk/p6p/3BPp1P/1p2nP1R/1P6/q2NK3/3R4 b - - 3 32,569
3r1rk1/ppp3p1/B7/2bP1p2/1n2N3/1Q2P3/PB3P2/R2bK1R1 w Q - 1 23,1714
8/p3R3/5pk1/6p1/7r/4PP2/P3KP2/8 w - - 2 41,185
3k4/5R2/1p6/1PrQ4/8/3P4/8/1K6 b - - 8 48,-15
5r1k/pQ1pb1pp/1p2pnq1/5p2/1PB5/P3P3/1BP2PPP/1R3RK1 w - - 1 21,623
3r4/2P2k2/5p2/5n2/8/PK4p1/1P6/4R3 w - - 0 40,628
r4rk1/1bbn1pp1/p7/1p5Q/5P2/2n5/PPPB2PP/4RR1K w - - 0 19,452
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,39
3k4/pR5R/3p4/1q1P4/2PpB3/3P4/PP3r2/3K4 w - - 5 31,738
8/5k2/2R4r/3Nbp2/8/8/6K1/8 w - - 2 75,356
8/4P2p/6p1/5p2/Pk3P2/2b3PK/4q2P/8 w - - 5 59,-633
2r1k1r1/1b2b3/pq1pB3/6pP/2n1PB2/pN4R1/K1P1Q3/1N1R4 w - - 0 29,474
4rk2/2R2pp1/1r6/1p4P1/p2qBP1Q/3P4/4P1K1/7R w - - 3 33,99999
2k5/2p5/8/6Pq/p7/P7/1P6/K1Q5 w - - 5 65,173
r2qkb1r/pbp2ppp/1pn5/4P3/4P1Q1/1P6/PBPN2PP/R3KBNR b KQkq - 0 9,-427
r1bq3r/p1pk1pbp/1p3n2/3PP1Bp/2N5/2P3P1/PP3PB1/R2QK1N1 w Q - 0 16,881
2r3k1/5p2/4p1p1/2bp2P1/1p6/pP2qB2/P1P5/2R2K2 b - - 1 36,99999
4r1k1/1pq2pp1/2p4p/p1b1p3/2P1b3/PPQ3P1/1B2PP1P/3R2K1 b - - 1 22,392
r3k2r/1p4pp/p7/3pp1bP/4n3/1RP5/PP2NP2/1R2K3 b kq - 0 22,534
8/6bk/4R2p/1p1r3Q/2p2P2/7P/1P4PK/8 w - - 1 40,792
2rq1rk1/5ppb/4pn1p/3pN3/1b6/3pPPP1/2PN2BP/R1Q1R1K1 b - - 0 23,540
2krr3/pp1b1p1Q/4p2P/3p4/3n1P2/P3q2R/2P1N1P1/R3KB2 w Q - 3 19,697
8/5p1k/3P2p1/1pp1Q2p/3nR2q/7P/P4RP1/6K1 w - - 0 34,1167
3r4/1p5k/7p/q3pP2/2P1Npp1/3B2P1/1r3P1P/1R1R2K1 w - - 0 36,263
8/2k5/1p4B1/8/2P1Npp1/4p3/3r2P1/5RK1 w - - 0 36,483
1k6/2R1r2R/p2p2p1/1p1P4/1P5p/P6P/3K2P1/8 w - - 5 54,957
r3r1k1/2qb1p1p/1ppp1np1/p2Pp3/2P1P3/PPNnBPPP/3N2B1/R2Q1RK1 b - - 0 17,-564
1r3q1k/p5p1/1p2b2p/n2P3P/1b2B3/3QBP2/P4K2/R5R1 w - - 1 28,390
r1bqk2r/pp1n2bp/3Qp1p1/2p1P3/2P2Bn1/2N2N2/PP4PP/R3KB1R b KQkq - 3 13,-106
Q7/3P4/1kr5/1p4P1/8/1P5q/2P2n2/1KR5 w - - 3 56,929
4kb1r/2qnpp2/4rnp1/2pPP2p/5B1P/2N2N2/PP2Q1P1/R3K2R b KQk - 2 15,-428
4K3/1p2QN2/8/p2P3p/3k3P/8/1P6/8 w - - 0 77,765
3r1rk1/ppp3p1/B7/2bP1p2/1n2N3/1Q2P2b/PB3P2/R3K1R1 w Q - 1 23,1746
8/6kp/p2n4/1p2p3/1P1p4/P4P2/4BK1P/8 b - - 1 39,204
r3r1k1/3b1pp1/n1pb1q1p/3p4/pp1P4/P2BPN1P/1PQ2PPR/1KNR4 b - - 1 17,375
5k2/1p3ppp/n7/r1P1p3/1pK1P3/1B3P2/6PP/5R2 b - - 4 36,339
2k5/ppqbp3/5n2/2pP1p2/P1P1p3/1QP1P3/4B1r1/2B1KR2 b - - 1 25,418
3r2r1/pk2bp2/4p3/2p1P3/3n3p/N4pRP/PP1B1P2/R3K3 b Q - 0 27,590
2R5/5p2/p1R2k2/P7/4P2r/3PKP2/1P3P2/7q b - - 4 42,177
8/7q/8/p5k1/PpPp2P1/1P1K4/4r3/8 w - - 2 67,-469
6k1/p7/8/1p4p1/3p1K2/3b4/P2R2PP/8 w - - 0 36,399
5rk1/p2nrpp1/2p3p1/N2np3/8/1B1P3P/PPP2PP1/3RR1K1 w - - 3 20,403
8/B7/8/8/5K2/8/k7/8 b - - 1 54,-21
2R5/6pp/p6k/4B3/8/1K5P/6r1/3r4 b - - 3 50,567
r5k1/b1n3p1/p1pBp1np/4P1q1/P1N3R1/7P/2Q2PP1/3R2K1 w - - 4 28,797
5rk1/Qb1pbppp/2n1pn2/qp4B1/3N4/6P1/PP2PPBP/2RR2K1 w - - 3 20,442
1r3r1k/ppq2B1p/3b4/2p1p2Q/2Np2b1/3P4/PPP3PP/R4R1K w - - 1 18,315
8/8/R2p2k1/6pp/3Pb3/8/1r2RKP1/8 w - - 8 60,446
8/4kp1p/p3p1p1/1p2n3/3K2P1/PP4rP/5P2/8 w - - 2 37,-562
3rr1k1/p4ppp/1p6/7q/3RQ3/1PN3PP/PB3Pn1/2R3K1 w - - 1 25,569
4Qb2/3R1pk1/2N3p1/3r3p/7P/6PK/8/8 w - - 1 51,99998
3r2k1/pb3ppp/1p2pn2/3PN3/3P4/qP1BQ3/P4PPP/2r1R1K1 b - - 1 20,517
2rq1rk1/5Npb/4pn1p/3p4/1b6/3pP1P1/2PN1PBP/R1Q1R1K1 b - - 0 23,489
6k1/p5pp/5pn1/8/P3P3/B4PQ1/6PP/2r3K1 w - - 0 33,551
8/8/8/8/3k1p2/1Pb4P/3NK3/8 w - - 7 68,70
4b3/8/2p2P2/2P1k2p/6p1/1p6/1K2B3/8 b - - 1 45,476
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,4
3r4/4n3/4Bkp1/P5R1/2Q2P2/2P3P1/1P1pq3/6K1 b - - 0 44,99999
5b1k/r3rpnp/2q3p1/p1pNP1N1/2P2RP1/7P/2Q2P2/3R2K1 w - - 5 31,423
4r1kr/p3b1pp/2N2n2/4p3/5B1P/2N5/PP3PP1/2KRR3 w - - 0 23,680
1Q6/5pkp/1n2p3/2p1Pn2/2P5/6P1/8/1q3NK1 b - - 9 40,336
8/8/4k3/3R1p2/3PK3/8/8/8 w - - 0 96,744
5rk1/p2N2pp/2p5/5p2/8/1P1P2n1/5PBP/5R1K w - - 0 23,577
