position,score
2R5/1Q4kp/6p1/2p5/1p2P3/4q2P/P5PK/5r2 b - - 22 45,144
8/nK6/P7/8/5k2/4q3/4p3/8 b - - 9 72,957
2rq1rk1/1n4pp/p4p2/1P1Pp3/8/1P2B1PP/4NPB1/3Rb1K1 b - - 1 22,645
3r2k1/5R2/p3r1p1/1p5p/7P/PPq5/2B2Q2/1K6 b - - 0 44,840
rn1r2k1/pp2bp1p/4B3/q1p3p1/4P3/2P2N2/P3QPPP/1RB2RK1 w - - 0 15,619
r4rk1/1q1bb1pp/8/p1pPp3/PpB1P3/1P2B1P1/2Q4P/R1R3K1 w - - 0 31,373
8/8/8/8/1k6/p7/2K3P1/8 b - - 1 60,-7
5r2/5p2/p3b1k1/8/2P2QP1/6r1/1P3P2/2KR4 w - - 1 32,533
6r1/3nk3/p2pn1P1/4p3/1PP1B3/6K1/P2B4/5R2 b - - 2 39,-142
8/6pk/6q1/7p/5Pr1/7P/5QP1/4R2K w - - 1 48,386
4r1k1/2Q2pbp/4p1p1/4P1P1/1p1BpPN1/1P4P1/r3q3/3R3K b - - 5 42,99999
7k/1b6/8/PP2N1pp/5p2/3p1P1P/6P1/4K3 w - - 0 42,496
6k1/1Q3pq1/p2r3p/6p1/P7/5P2/6PP/2R2BK1 w - - 1 33,595
8/8/8/8/2B1k3/2K5/8/8 w - - 1 65,-3
5k2/1Q2b3/R7/4p2p/7P/8/K7/8 w - - 16 68,670
6Q1/1kpK3P/1p1n4/8/8/1q6/8/8 w - - 11 63,597
7r/pp1n2k1/2p2q2/P7/1PB1P1P1/2N2n1Q/5P2/7K b - - 0 32,1152
